전기차 충전소 설치현황 ( 20230525 현재 ),,,,,
"시도 : 부산광역시, 시군구 : ALL",,,,,
시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
부산광역시,부산국립국악원,부산광역시 부산진구 연지동 219-2,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,부산시설공단(중앙몰),부산광역시 부산진구 부전동 576-1,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,부산울산전력관리처,부산광역시 부산진구 부전동 224-7,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,부산울산전력관리처(공용),부산광역시 부산진구 부전동 224-7,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,부산울산직할,부산광역시 부산진구 부전동 224-7,1 ,13 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,상수도사업본부,부산광역시 부산진구 양정동 273-20,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,서면e편한세상,부산광역시 부산진구 범천동 1054,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,양정현대1차,부산광역시 부산진구 양정동 458-5,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,양정현대2차 아파트,부산광역시 부산진구 양정동 458-20,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,연지자이2차,부산광역시 부산진구 연지동 406,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,한라비발디스튜디오422,부산광역시 부산진구 범천동 1000-24,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,구포2동 공영주차장,부산광역시 북구 구포동 969-4,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,구포대우아파트,부산광역시 북구 구포동 849-1,0 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,구포유림노르웨이숲,부산광역시 북구 구포동 1293,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,금곡주공3단지,부산광역시 북구 금곡동 57-1,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,대리천 공영주차장,부산광역시 북구 덕천동 732-5,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,동원로얄듀크비스타,부산광역시 북구 구포동 1296,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,만덕1동 공영주차장,부산광역시 북구 만덕동 642-15,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,만덕2동 주민센터,부산광역시 북구 만덕동 289-1,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,만덕동심공원 공영주차장,부산광역시 북구 만덕동 872-3,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,부산 북구청,부산광역시 북구 구포동 1124-1,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,율리벽산블루밍,부산광역시 북구 금곡동 1915,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,한국폴리텍대학 부산캠퍼스,"부산광역시 북구 만덕대로155번길 99 (덕천동, 한국폴리텍대학부산캠퍼스)",1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,화명동대림타운,부산광역시 북구 화명동 1170-1,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,화명롯데 아파트낙천대,부산광역시 북구 화명동 2264,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,화명한일유앤아이 아파트,부산광역시 북구 금곡동 1898,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,(전주거치형)곡상골,부산광역시 사상구 모라동 1345-7,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,감전역 역세권 공영주차장,부산광역시 사상구 새벽시장로135,1 ,0 ,"SM3 Z.E,테슬라"
